crop_id,crop,sales2023_jin,area2023,revenue2023_yuan
1,黄豆,57000.0,147.0,185250.0
2,黑豆,21850.0,46.0,163875.0
3,红豆,22400.0,60.0,184800.0
4,绿豆,33040.0,96.0,231280.0
5,爬豆,9875.0,25.0,66656.25
6,小麦,170840.0,222.0,597940.0
7,玉米,132750.0,135.0,398250.0
8,谷子,71400.0,185.0,481950.0
9,高粱,30000.0,50.0,180000.0
10,黍子,12500.0,25.0,93750.0
11,荞麦,1500.0,15.0,60000.0
12,南瓜,35100.0,13.0,52650.0
13,红薯,36000.0,18.0,117000.0
14,莜麦,14000.0,35.0,77000.0
15,大麦,10000.0,20.0,35000.0
16,水稻,21000.0,42.0,147000.0
17,豇豆,36480.0,11.8,291840.0
18,刀豆,26880.0,13.2,181440.0
19,芸豆,6480.0,1.7999999999999998,42120.0
20,土豆,30000.0,15.0,112500.0
21,西红柿,36210.0,14.9,227325.0
22,茄子,45360.0,6.9,251856.0
23,菠菜,900.0,0.3,6210.0
24,青椒,2610.0,0.8999999999999999,14958.0
25,菜花,3600.0,0.8999999999999999,19800.0
26,包菜,4050.0,0.8999999999999999,26325.0
27,油麦菜,4500.0,0.8999999999999999,22500.0
28,小青菜,35480.0,10.9,205252.0
29,黄瓜,13050.0,0.8999999999999999,97020.0
30,生菜,2850.0,0.6,16380.000000000002
31,辣椒,1200.0,0.6,8700.0
32,空心菜,3600.0,0.3,16200.0
33,黄心菜,1800.0,0.3,8100.0
34,芹菜,1800.0,0.3,8640.0
35,大白菜,150000.0,30.0,375000.0
36,白萝卜,100000.0,25.0,250000.0
37,红萝卜,36000.0,12.0,117000.0
38,榆黄菇,9000.0,1.7999999999999998,517500.0
39,香菇,7200.0,1.7999999999999998,136800.0
40,白灵菇,18000.0,1.7999999999999998,288000.0
41,羊肚菌,4200.0,4.2,420000.0
