crop_id,crop,plot_type,season,yield_jin,cost_yuan,price_low,price_high,price_mid,plot_types
1,黄豆,平旱地,单季,400.0,400.0,2.5,4.0,3.25,"平旱地,梯田,山坡地"
2,黑豆,平旱地,单季,500.0,400.0,6.5,8.5,7.5,"平旱地,梯田,山坡地"
3,红豆,平旱地,单季,400.0,350.0,7.5,9.0,8.25,"平旱地,梯田,山坡地"
4,绿豆,平旱地,单季,350.0,350.0,6.0,8.0,7.0,"平旱地,梯田,山坡地"
5,爬豆,平旱地,单季,415.0,350.0,6.0,7.5,6.75,"平旱地,梯田,山坡地"
6,小麦,平旱地,单季,800.0,450.0,3.0,4.0,3.5,"平旱地,梯田,山坡地"
7,玉米,平旱地,单季,1000.0,500.0,2.5,3.5,3.0,"平旱地,梯田,山坡地"
8,谷子,平旱地,单季,400.0,360.0,6.0,7.5,6.75,"平旱地,梯田,山坡地"
9,高粱,平旱地,单季,630.0,400.0,5.5,6.5,6.0,"平旱地,梯田,山坡地"
10,黍子,平旱地,单季,525.0,360.0,6.5,8.5,7.5,"平旱地,梯田,山坡地"
11,荞麦,平旱地,单季,110.0,350.0,30.0,50.0,40.0,"平旱地,梯田,山坡地"
12,南瓜,平旱地,单季,3000.0,1000.0,1.0,2.0,1.5,"平旱地,梯田,山坡地"
13,红薯,平旱地,单季,2200.0,2000.0,2.5,4.0,3.25,"平旱地,梯田,山坡地"
14,莜麦,平旱地,单季,420.0,400.0,5.0,6.0,5.5,"平旱地,梯田,山坡地"
15,大麦,平旱地,单季,525.0,350.0,3.0,4.0,3.5,"平旱地,梯田,山坡地"
1,黄豆,梯田,单季,380.0,400.0,2.5,4.0,3.25,"平旱地,梯田,山坡地"
2,黑豆,梯田,单季,475.0,400.0,6.5,8.5,7.5,"平旱地,梯田,山坡地"
3,红豆,梯田,单季,380.0,350.0,7.5,9.0,8.25,"平旱地,梯田,山坡地"
4,绿豆,梯田,单季,330.0,350.0,6.0,8.0,7.0,"平旱地,梯田,山坡地"
5,爬豆,梯田,单季,395.0,350.0,6.0,7.5,6.75,"平旱地,梯田,山坡地"
6,小麦,梯田,单季,760.0,450.0,3.0,4.0,3.5,"平旱地,梯田,山坡地"
7,玉米,梯田,单季,950.0,500.0,2.5,3.5,3.0,"平旱地,梯田,山坡地"
8,谷子,梯田,单季,380.0,360.0,6.0,7.5,6.75,"平旱地,梯田,山坡地"
9,高粱,梯田,单季,600.0,400.0,5.5,6.5,6.0,"平旱地,梯田,山坡地"
10,黍子,梯田,单季,500.0,360.0,6.5,8.5,7.5,"平旱地,梯田,山坡地"
11,荞麦,梯田,单季,105.0,350.0,30.0,50.0,40.0,"平旱地,梯田,山坡地"
12,南瓜,梯田,单季,2850.0,1000.0,1.0,2.0,1.5,"平旱地,梯田,山坡地"
13,红薯,梯田,单季,2100.0,2000.0,2.5,4.0,3.25,"平旱地,梯田,山坡地"
14,莜麦,梯田,单季,400.0,400.0,5.0,6.0,5.5,"平旱地,梯田,山坡地"
15,大麦,梯田,单季,500.0,350.0,3.0,4.0,3.5,"平旱地,梯田,山坡地"
1,黄豆,山坡地,单季,360.0,400.0,2.5,4.0,3.25,"平旱地,梯田,山坡地"
2,黑豆,山坡地,单季,450.0,400.0,6.5,8.5,7.5,"平旱地,梯田,山坡地"
3,红豆,山坡地,单季,360.0,350.0,7.5,9.0,8.25,"平旱地,梯田,山坡地"
4,绿豆,山坡地,单季,315.0,350.0,6.0,8.0,7.0,"平旱地,梯田,山坡地"
5,爬豆,山坡地,单季,375.0,350.0,6.0,7.5,6.75,"平旱地,梯田,山坡地"
6,小麦,山坡地,单季,720.0,450.0,3.0,4.0,3.5,"平旱地,梯田,山坡地"
7,玉米,山坡地,单季,900.0,500.0,2.5,3.5,3.0,"平旱地,梯田,山坡地"
8,谷子,山坡地,单季,360.0,360.0,6.0,7.5,6.75,"平旱地,梯田,山坡地"
9,高粱,山坡地,单季,570.0,400.0,5.5,6.5,6.0,"平旱地,梯田,山坡地"
10,黍子,山坡地,单季,475.0,360.0,6.5,8.5,7.5,"平旱地,梯田,山坡地"
11,荞麦,山坡地,单季,100.0,350.0,30.0,50.0,40.0,"平旱地,梯田,山坡地"
12,南瓜,山坡地,单季,2700.0,1000.0,1.0,2.0,1.5,"平旱地,梯田,山坡地"
