case,tensors,ops_total,ops_copy,ops_core,dag_edges,cycles_m,cycles_v,cycles_total,critical_path,parallel_width,level_count,ddr_bytes,l1_bytes,ub_bytes,max_l1_tensor,max_ub_tensor,source_ops,sink_ops,max_fanout
case_001,1202,1001,401,600,400,232800,30400,263200,1316,200.0,3,1639552,1639552,1638400,4096,4096,200,200,1
case_002,2595,2197,399,1798,1797,240000,35928,275928,2976,92.718,24,1224192,2451456,1532928,4608,1536,199,1,1
case_003,13868,13670,215,13455,20540,438792,325189,763981,28285,27.01,305,1284264,3850880,5218668,32768,8192,81,17,9
case_004,1116,1002,225,777,777,385614,47952,433566,2748,157.775,6,792576,2156544,2386944,36864,6144,222,111,2
case_005,4298,4209,96,4113,6258,63882,60930,124812,6894,18.104,138,333414,1254432,1963014,9216,4608,25,7,7
case_006,982,851,173,678,695,18660,69000,87660,2836,30.91,22,543348,581248,2584642,16384,16384,116,42,11
case_007,5556,4998,1113,3885,3885,979020,253080,1232100,1632,754.963,6,1732608,5142528,5967360,9216,3072,1110,555,2
case_008,1836,1404,540,864,972,250128,237168,487296,4512,108.0,8,2654424,4644864,8004312,18432,18432,108,108,2
case_009,6376,6058,387,5671,8056,65160,119992,185152,9965,18.58,366,495332,854560,1953084,8192,6144,200,69,6
case_010,889,796,129,667,700,44610,55496,100106,3146,31.82,62,384150,633344,1924002,16384,16384,80,36,13
case_011,1056,880,192,688,672,184448,25536,209984,2120,99.049,22,606208,3358720,0,4096,0,352,16,1
case_012,1555,1304,332,972,986,35572,32237,67809,2506,27.059,19,554898,676032,815514,9216,9216,195,81,7
case_013,4190,3202,1234,1968,1722,263712,43296,307008,400,767.52,4,2527232,6053888,0,2048,0,984,246,1
case_014,40287,38666,2961,35705,34509,17225748,1651424,18877172,31968,590.502,124,9932740,183243864,153430,165888,128,15921,1340,2
case_015,1501,1290,277,1013,1063,94980,101497,196477,7913,24.83,29,884614,882432,3250692,32768,16384,172,66,11
case_016,18020,18008,13,17995,21338,0,7714975,7714975,655140,11.776,2440,393218,393216,359806670,32768,32768,12,1,12
case_017,2015,1758,385,1373,1428,110600,67202,177802,5980,29.733,18,643862,684032,1711728,24576,9216,233,128,8
case_018,3717,3285,558,2727,2653,971320,112731,1084051,3539,306.316,28,1592848,9136384,1453422,8192,8192,1084,126,2
case_019,854,766,119,647,694,48436,40276,88712,12234,7.251,79,186984,458272,1062732,8192,8192,57,31,2
case_020,7872,7584,576,7008,8064,0,532608,532608,1824,292.0,24,2359296,0,29884416,0,4096,288,288,2
case_021,4900,4450,530,3920,3840,6192000,783360,6975360,5544,1258.182,7,3338240,50524160,0,12288,0,2000,80,1
case_022,1705,1567,211,1356,1483,4484,54087,58571,1986,29.492,36,213686,107776,1916226,2304,8192,149,73,10
case_023,1336,1202,191,1011,1123,63384,69558,132942,4218,31.518,31,443444,643488,1895698,24576,8192,95,57,7
case_024,5984,5972,13,5959,7058,0,2554795,2554795,216948,11.776,808,393218,393216,119149094,32768,32768,12,1,12
case_025,26666,23997,5335,18662,18662,4702824,1215696,5918520,1632,3626.544,6,8217600,24597504,28664832,9216,3072,5332,2666,2
case_026,871,769,133,636,679,40992,70768,111760,4319,25.876,49,528854,689584,3035904,24576,16384,76,31,10
case_027,2160,1800,376,1424,1408,2229120,287232,2516352,21048,119.553,45,2039808,19341312,0,12288,0,720,16,1
case_028,20151,19944,360,19584,23103,38974608,1975536,40950144,246816,165.914,124,5908608,98501760,0,165888,0,153,153,2
case_029,1281,1113,252,861,924,0,37485,37485,407,92.101,12,430164,0,1119174,0,2048,168,84,5
case_030,11940,11248,1178,10070,9584,2776480,406822,3183302,1494,2130.724,12,2394060,43336704,60332,6144,128,4472,486,1
case_031,7365,6805,670,6135,7166,1334492,221025,1555517,13057,119.133,136,2185040,15416096,2567268,13824,8192,1659,110,9
case_032,1186,1035,208,827,870,10150,33995,44145,1146,38.521,30,293088,321608,922828,4608,4608,137,57,9
case_033,4572,4069,604,3465,3437,1728108,192042,1920150,6300,304.786,34,2972910,20001824,1486786,13824,13824,1439,101,4
case_034,5144,4545,800,3745,3691,749160,194956,944116,3677,256.763,24,2280386,11479040,2953904,8192,8192,1374,201,8
case_035,4538,4237,380,3857,5067,62192,143909,206101,17200,11.983,333,410854,870944,3489418,8192,8192,224,79,14
case_036,4802,4001,1601,2400,1600,931200,121600,1052800,1316,800.0,3,6554752,6554752,6553600,4096,4096,800,800,1
case_037,1160,980,200,780,760,209600,28880,238480,904,263.805,6,614400,3727360,0,4096,0,400,20,1
case_038,7649,6843,936,5907,5855,1325000,167776,1492776,8754,170.525,36,2802950,15894016,1324818,32768,6144,2594,130,2
case_039,6612,5966,716,5250,5180,1377880,98420,1476300,784,1883.036,8,4489216,25706496,0,8192,0,2660,70,1
case_040,3647,3381,298,3083,4149,111972,185751,297723,16120,18.469,229,911238,2000832,6741686,16384,16384,196,32,14
case_041,19210,18149,1555,16594,16140,5895240,607750,6502990,1767,3680.243,49,4949980,64840704,746424,6144,4096,7574,494,7
case_042,5853,5345,612,4733,4687,1599076,226026,1825102,5685,321.038,53,2388964,18595104,3050880,18432,16384,2057,104,10
case_043,10140,9756,447,9309,13402,517752,343841,861593,27474,31.36,202,1431122,5331760,6158030,16384,8192,547,63,9
case_044,1497,1436,72,1364,1617,74404,9988,84392,7672,11.0,124,975456,2042720,0,73728,0,11,11,2
case_045,1855,1787,136,1651,1900,0,125476,125476,1824,68.792,24,557056,0,7041024,0,4096,68,68,2
case_046,1116,1058,66,992,1176,209248,18400,227648,28456,8.0,124,1061472,4166240,0,73728,0,8,8,2
case_047,14259,13988,278,13710,20909,153760,259370,413130,19990,20.667,460,463942,1892160,3079046,4096,2048,67,7,7
case_048,2069,1900,172,1728,2448,139536,120060,259596,75960,3.418,369,414790,921664,1099878,4096,4096,57,3,3
case_049,4609,4465,162,4303,6323,95464,165715,261179,8921,29.277,186,152540,1198752,2713064,8192,8192,60,18,8
case_050,4969,4781,226,4555,6605,51968,133411,185379,6829,27.146,186,319376,756768,2873750,2048,8192,108,38,8
case_051,1441,1429,13,1416,1668,0,607080,607080,51552,11.776,192,393218,393216,28312656,32768,32768,12,1,12
case_052,1606,1347,339,1008,1034,141528,62595,204123,3665,55.695,17,810204,1788928,1236550,13824,6912,218,80,6
case_053,12377,12046,376,11670,17160,1212726,344076,1556802,56912,27.355,241,2995288,11266672,4473176,73728,9216,133,45,9
