数据集,项目,导联,条件,试次数,P300幅值_uV,P300潜伏期_ms,早期幅值_uV,早期潜伏期_ms,分半信度,显著时间点数,伪迹抑制率
A1,项目一,Fz,全部,100,-6.2117,453.12,-4.2439,121.09,0.5367,0,0.1733
A1,项目一,Fz,左靶,54,6.5288,328.12,-2.3779,132.81,0.1734,0,0.1733
A1,项目一,Fz,右靶,46,-8.4479,457.03,-8.1089,140.62,0.7978,0,0.1733
A1,项目一,F3,全部,100,-13.7221,449.22,4.6628,78.12,-0.3865,0,0.5955
A1,项目一,F3,左靶,54,-33.4161,460.94,-14.0609,246.09,0.909,0,0.5955
A1,项目一,F3,右靶,46,17.8735,316.41,17.4694,191.41,-0.8103,0,0.5955
A1,项目一,F4,全部,100,12.2498,328.12,10.3975,191.41,-0.6577,0,0.5793
A1,项目一,F4,左靶,54,-13.8016,464.84,4.445,89.84,0.382,0,0.5793
A1,项目一,F4,右靶,46,26.717,316.41,23.1848,230.47,-0.758,0,0.5793
A2,项目二,Fz,全部,100,41.5592,496.09,13.28,242.19,0.9957,131,0.0006
A2,项目二,Fz,左靶,57,31.7347,496.09,4.8836,226.56,0.9737,68,0.0006
A2,项目二,Fz,右靶,43,54.5825,496.09,26.2,246.09,0.987,118,0.0006
A2,项目二,F3,全部,100,92.4343,496.09,23.1306,175.78,0.9718,119,0.2387
A2,项目二,F3,左靶,57,49.5585,496.09,-12.2549,187.5,0.3716,0,0.2387
A2,项目二,F3,右靶,43,149.2698,496.09,50.9669,246.09,0.9545,121,0.2387
A2,项目二,F4,全部,100,53.7035,496.09,20.5097,242.19,0.9979,78,0.0071
A2,项目二,F4,左靶,57,33.1912,496.09,-5.3258,82.03,0.9241,52,0.0071
A2,项目二,F4,右靶,43,80.8943,496.09,43.1762,242.19,0.9934,199,0.0071
B1,项目一,Fz,全部,100,-5.8522,257.81,-6.4925,238.28,-0.8875,0,0.7267
B1,项目一,Fz,左靶,48,-31.8563,453.12,-29.2351,238.28,-0.3744,0,0.7267
B1,项目一,Fz,右靶,52,28.6799,496.09,15.8054,246.09,0.3907,0,0.7267
B1,项目一,F3,全部,100,-16.1834,453.12,-8.2857,214.84,-0.2288,0,0.478
B1,项目一,F3,左靶,48,-9.7783,257.81,-9.0268,226.56,0.8412,0,0.478
B1,项目一,F3,右靶,52,-23.9416,453.12,-8.4785,214.84,-0.4466,0,0.478
B1,项目一,F4,全部,100,13.9759,324.22,9.1033,222.66,-0.1268,0,0.4731
B1,项目一,F4,左靶,48,29.684,351.56,20.028,246.09,0.8418,0,0.4731
B1,项目一,F4,右靶,52,-21.1889,484.38,4.8635,105.47,0.6149,0,0.4731
B2,项目二,Fz,全部,100,71.2741,496.09,32.9285,246.09,0.9912,205,0.0009
B2,项目二,Fz,左靶,50,85.2282,496.09,39.898,246.09,0.96,130,0.0009
B2,项目二,Fz,右靶,50,57.32,496.09,25.9591,246.09,0.9871,71,0.0009
B2,项目二,F3,全部,100,71.6608,496.09,17.9402,246.09,0.9475,71,0.2344
B2,项目二,F3,左靶,50,63.1997,496.09,17.3488,242.19,0.796,0,0.2344
B2,项目二,F3,右靶,50,80.1219,496.09,18.6323,246.09,0.548,0,0.2344
B2,项目二,F4,全部,100,92.8598,496.09,51.5066,246.09,0.9061,76,0.3974
B2,项目二,F4,左靶,50,19.0033,265.62,13.1798,246.09,0.9587,0,0.3974
B2,项目二,F4,右靶,50,177.3225,496.09,89.8333,246.09,0.9432,149,0.3974
