样本编号,模态类型,原始有效时长（秒）,特征维度,序列位置数,有效位置数,对齐粒度（秒）,填充位置数
-3g5yACwYnA$_$13,文本,5.514,768,50,50,0.1103,0
-3g5yACwYnA$_$13,语音,5.514,74,50,49,0.1103,1
-3g5yACwYnA$_$13,视觉,5.514,35,50,28,0.1103,22
-3g5yACwYnA$_$3,文本,14.389,768,50,50,0.2878,0
-3g5yACwYnA$_$3,语音,14.389,74,50,50,0.2878,0
-3g5yACwYnA$_$3,视觉,14.389,35,50,50,0.2878,0
-3g5yACwYnA$_$2,文本,9.394,768,50,50,0.1879,0
-3g5yACwYnA$_$2,语音,9.394,74,50,50,0.1879,0
-3g5yACwYnA$_$2,视觉,9.394,35,50,47,0.1879,3
-3g5yACwYnA$_$9,文本,8.817,768,50,50,0.1763,0
-3g5yACwYnA$_$9,语音,8.817,74,50,50,0.1763,0
-3g5yACwYnA$_$9,视觉,8.817,35,50,44,0.1763,6
-3nNcZdcdvU$_$5,文本,7.868,768,50,50,0.1574,0
-3nNcZdcdvU$_$5,语音,7.868,74,50,50,0.1574,0
-3nNcZdcdvU$_$5,视觉,7.868,35,50,39,0.1574,11
-HwX2H8Z4hY$_$2,文本,3.982,768,50,50,0.0796,0
-HwX2H8Z4hY$_$2,语音,3.982,74,50,50,0.0796,0
-HwX2H8Z4hY$_$2,视觉,3.982,35,50,20,0.0796,30
-HwX2H8Z4hY$_$5,文本,5.653,768,50,50,0.1131,0
-HwX2H8Z4hY$_$5,语音,5.653,74,50,50,0.1131,0
-HwX2H8Z4hY$_$5,视觉,5.653,35,50,28,0.1131,22
-HwX2H8Z4hY$_$6,文本,3.358,768,50,50,0.0672,0
-HwX2H8Z4hY$_$6,语音,3.358,74,50,49,0.0672,1
-HwX2H8Z4hY$_$6,视觉,3.358,35,50,17,0.0672,33
-HwX2H8Z4hY$_$9,文本,7.734,768,50,50,0.1547,0
-HwX2H8Z4hY$_$9,语音,7.734,74,50,50,0.1547,0
-HwX2H8Z4hY$_$9,视觉,7.734,35,50,39,0.1547,11
-NFrJFQijFE$_$1,文本,5.746,768,50,50,0.1149,0
-NFrJFQijFE$_$1,语音,5.746,74,50,50,0.1149,0
-NFrJFQijFE$_$1,视觉,5.746,35,50,29,0.1149,21
-NFrJFQijFE$_$2,文本,6.856,768,50,50,0.1371,0
-NFrJFQijFE$_$2,语音,6.856,74,50,49,0.1371,1
-NFrJFQijFE$_$2,视觉,6.856,35,50,34,0.1371,16
-THoVjtIkeU$_$12,文本,14.896,768,50,50,0.2979,0
-THoVjtIkeU$_$12,语音,14.896,74,50,50,0.2979,0
-THoVjtIkeU$_$12,视觉,14.896,35,50,50,0.2979,0
-THoVjtIkeU$_$2,文本,4.292,768,50,50,0.0858,0
-THoVjtIkeU$_$2,语音,4.292,74,50,50,0.0858,0
-THoVjtIkeU$_$2,视觉,4.292,35,50,21,0.0858,29
-THoVjtIkeU$_$6,文本,8.097,768,50,50,0.1619,0
-THoVjtIkeU$_$6,语音,8.097,74,50,50,0.1619,0
-THoVjtIkeU$_$6,视觉,8.097,35,50,40,0.1619,10
-UuX1xuaiiE$_$1,文本,10.35,768,50,50,0.207,0
-UuX1xuaiiE$_$1,语音,10.35,74,50,50,0.207,0
-UuX1xuaiiE$_$1,视觉,10.35,35,50,50,0.207,0
-UuX1xuaiiE$_$0,文本,3.633,768,50,50,0.0727,0
-UuX1xuaiiE$_$0,语音,3.633,74,50,50,0.0727,0
-UuX1xuaiiE$_$0,视觉,3.633,35,50,19,0.0727,31
-UuX1xuaiiE$_$3,文本,4.13,768,50,50,0.0826,0
-UuX1xuaiiE$_$3,语音,4.13,74,50,49,0.0826,1
-UuX1xuaiiE$_$3,视觉,4.13,35,50,21,0.0826,29
-UuX1xuaiiE$_$6,文本,8.114,768,50,50,0.1623,0
-UuX1xuaiiE$_$6,语音,8.114,74,50,49,0.1623,1
-UuX1xuaiiE$_$6,视觉,8.114,35,50,41,0.1623,9
-a55Q6RWvTA$_$3,文本,22.154,768,50,50,0.4431,0
-a55Q6RWvTA$_$3,语音,22.154,74,50,50,0.4431,0
-a55Q6RWvTA$_$3,视觉,22.154,35,50,50,0.4431,0
-aNfi7CP8vM$_$7,文本,8.695,768,50,50,0.1739,0
-aNfi7CP8vM$_$7,语音,8.695,74,50,50,0.1739,0
-aNfi7CP8vM$_$7,视觉,8.695,35,50,43,0.1739,7
-aqamKhZ1Ec$_$0,文本,10.967,768,50,50,0.2193,0
-aqamKhZ1Ec$_$0,语音,10.967,74,50,50,0.2193,0
-aqamKhZ1Ec$_$0,视觉,10.967,35,50,50,0.2193,0
-dxfTGcXJoc$_$1,文本,16.161,768,50,50,0.3232,0
-dxfTGcXJoc$_$1,语音,16.161,74,50,50,0.3232,0
-dxfTGcXJoc$_$1,视觉,16.161,35,50,50,0.3232,0
-dxfTGcXJoc$_$0,文本,20.5,768,50,50,0.41,0
-dxfTGcXJoc$_$0,语音,20.5,74,50,50,0.41,0
-dxfTGcXJoc$_$0,视觉,20.5,35,50,50,0.41,0
-dxfTGcXJoc$_$2,文本,16.698,768,50,50,0.334,0
-dxfTGcXJoc$_$2,语音,16.698,74,50,50,0.334,0
-dxfTGcXJoc$_$2,视觉,16.698,35,50,50,0.334,0
-dxfTGcXJoc$_$6,文本,12.735,768,50,50,0.2547,0
-dxfTGcXJoc$_$6,语音,12.735,74,50,50,0.2547,0
-dxfTGcXJoc$_$6,视觉,12.735,35,50,50,0.2547,0
-egA8-b7-3M$_$26,文本,6.031,768,50,50,0.1206,0
-egA8-b7-3M$_$26,语音,6.031,74,50,50,0.1206,0
-egA8-b7-3M$_$26,视觉,6.031,35,50,30,0.1206,20
-egA8-b7-3M$_$17,文本,7.271,768,50,50,0.1454,0
-egA8-b7-3M$_$17,语音,7.271,74,50,49,0.1454,1
-egA8-b7-3M$_$17,视觉,7.271,35,50,36,0.1454,14
-egA8-b7-3M$_$18,文本,8.386,768,50,50,0.1677,0
-egA8-b7-3M$_$18,语音,8.386,74,50,50,0.1677,0
-egA8-b7-3M$_$18,视觉,8.386,35,50,42,0.1677,8
-egA8-b7-3M$_$16,文本,5.538,768,50,50,0.1108,0
-egA8-b7-3M$_$16,语音,5.538,74,50,50,0.1108,0
-egA8-b7-3M$_$16,视觉,5.538,35,50,28,0.1108,22
-egA8-b7-3M$_$13,文本,4.184,768,50,50,0.0837,0
-egA8-b7-3M$_$13,语音,4.184,74,50,49,0.0837,1
-egA8-b7-3M$_$13,视觉,4.184,35,50,21,0.0837,29
-egA8-b7-3M$_$1,文本,10.266,768,50,50,0.2053,0
-egA8-b7-3M$_$1,语音,10.266,74,50,50,0.2053,0
-egA8-b7-3M$_$1,视觉,10.266,35,50,50,0.2053,0
-egA8-b7-3M$_$6,文本,6.265,768,50,50,0.1253,0
-egA8-b7-3M$_$6,语音,6.265,74,50,50,0.1253,0
-egA8-b7-3M$_$6,视觉,6.265,35,50,31,0.1253,19
-egA8-b7-3M$_$9,文本,5.09,768,50,50,0.1018,0
-egA8-b7-3M$_$9,语音,5.09,74,50,49,0.1018,1
-egA8-b7-3M$_$9,视觉,5.09,35,50,25,0.1018,25
-egA8-b7-3M$_$20,文本,6.645,768,50,50,0.1329,0
-egA8-b7-3M$_$20,语音,6.645,74,50,49,0.1329,1
-egA8-b7-3M$_$20,视觉,6.645,35,50,33,0.1329,17
-iRBcNs9oI8$_$3,文本,5.621,768,50,50,0.1124,0
-iRBcNs9oI8$_$3,语音,5.621,74,50,50,0.1124,0
-iRBcNs9oI8$_$3,视觉,5.621,35,50,28,0.1124,22
-iRBcNs9oI8$_$7,文本,4.104,768,50,50,0.0821,0
-iRBcNs9oI8$_$7,语音,4.104,74,50,49,0.0821,1
-iRBcNs9oI8$_$7,视觉,4.104,35,50,20,0.0821,30
-iRBcNs9oI8$_$6,文本,2.903,768,50,50,0.0581,0
-iRBcNs9oI8$_$6,语音,2.903,74,50,49,0.0581,1
-iRBcNs9oI8$_$6,视觉,2.903,35,50,14,0.0581,36
-iRBcNs9oI8$_$9,文本,3.416,768,50,50,0.0683,0
-iRBcNs9oI8$_$9,语音,3.416,74,50,50,0.0683,0
-iRBcNs9oI8$_$9,视觉,3.416,35,50,17,0.0683,33
-iRBcNs9oI8$_$8,文本,8.093,768,50,50,0.1619,0
-iRBcNs9oI8$_$8,语音,8.093,74,50,50,0.1619,0
-iRBcNs9oI8$_$8,视觉,8.093,35,50,40,0.1619,10
-lzEya4AM_4$_$5,文本,7.675,768,50,50,0.1535,0
-lzEya4AM_4$_$5,语音,7.675,74,50,50,0.1535,0
-lzEya4AM_4$_$5,视觉,7.675,35,50,38,0.1535,12
-lzEya4AM_4$_$6,文本,14.792,768,50,50,0.2958,0
-lzEya4AM_4$_$6,语音,14.792,74,50,50,0.2958,0
-lzEya4AM_4$_$6,视觉,14.792,35,50,50,0.2958,0
-mJ2ud6oKI8$_$1,文本,6.103,768,50,50,0.1221,0
-mJ2ud6oKI8$_$1,语音,6.103,74,50,50,0.1221,0
-mJ2ud6oKI8$_$1,视觉,6.103,35,50,30,0.1221,20
-mJ2ud6oKI8$_$2,文本,5.731,768,50,50,0.1146,0
-mJ2ud6oKI8$_$2,语音,5.731,74,50,50,0.1146,0
-mJ2ud6oKI8$_$2,视觉,5.731,35,50,29,0.1146,21
-mJ2ud6oKI8$_$6,文本,2.257,768,50,50,0.0451,0
-mJ2ud6oKI8$_$6,语音,2.257,74,50,50,0.0451,0
-mJ2ud6oKI8$_$6,视觉,2.257,35,50,11,0.0451,39
-mJ2ud6oKI8$_$9,文本,7.033,768,50,50,0.1407,0
-mJ2ud6oKI8$_$9,语音,7.033,74,50,50,0.1407,0
-mJ2ud6oKI8$_$9,视觉,7.033,35,50,35,0.1407,15
-mJ2ud6oKI8$_$8,文本,4.192,768,50,50,0.0838,0
-mJ2ud6oKI8$_$8,语音,4.192,74,50,50,0.0838,0
-mJ2ud6oKI8$_$8,视觉,4.192,35,50,21,0.0838,29
-mqbVkbCndg$_$0,文本,6.467,768,50,50,0.1293,0
-mqbVkbCndg$_$0,语音,6.467,74,50,50,0.1293,0
-mqbVkbCndg$_$0,视觉,6.467,35,50,33,0.1293,17
-t217m2on-s$_$2,文本,5.686,768,50,50,0.1137,0
-t217m2on-s$_$2,语音,5.686,74,50,50,0.1137,0
-t217m2on-s$_$2,视觉,5.686,35,50,28,0.1137,22
-t217m2on-s$_$7,文本,17.183,768,50,50,0.3437,0
-t217m2on-s$_$7,语音,17.183,74,50,50,0.3437,0
-t217m2on-s$_$7,视觉,17.183,35,50,50,0.3437,0
-tANM6ETl_M$_$3,文本,6.758,768,50,50,0.1352,0
-tANM6ETl_M$_$3,语音,6.758,74,50,49,0.1352,1
-tANM6ETl_M$_$3,视觉,6.758,35,50,34,0.1352,16
-tPCytz4rww$_$11,文本,5.467,768,50,50,0.1093,0
-tPCytz4rww$_$11,语音,5.467,74,50,50,0.1093,0
-tPCytz4rww$_$11,视觉,5.467,35,50,27,0.1093,23
-tPCytz4rww$_$10,文本,4.789,768,50,50,0.0958,0
-tPCytz4rww$_$10,语音,4.789,74,50,49,0.0958,1
-tPCytz4rww$_$10,视觉,4.789,35,50,24,0.0958,26
-tPCytz4rww$_$12,文本,11.864,768,50,50,0.2373,0
-tPCytz4rww$_$12,语音,11.864,74,50,50,0.2373,0
-tPCytz4rww$_$12,视觉,11.864,35,50,50,0.2373,0
-tPCytz4rww$_$16,文本,7.206,768,50,50,0.1441,0
-tPCytz4rww$_$16,语音,7.206,74,50,50,0.1441,0
-tPCytz4rww$_$16,视觉,7.206,35,50,36,0.1441,14
-tPCytz4rww$_$18,文本,6.645,768,50,50,0.1329,0
-tPCytz4rww$_$18,语音,6.645,74,50,50,0.1329,0
-tPCytz4rww$_$18,视觉,6.645,35,50,33,0.1329,17
-vxjVxOeScU$_$4,文本,9.127,768,50,50,0.1825,0
-vxjVxOeScU$_$4,语音,9.127,74,50,50,0.1825,0
-vxjVxOeScU$_$4,视觉,9.127,35,50,46,0.1825,4
-wMB_hJL-3o$_$7,文本,6.044,768,50,50,0.1209,0
-wMB_hJL-3o$_$7,语音,6.044,74,50,50,0.1209,0
-wMB_hJL-3o$_$7,视觉,6.044,35,50,30,0.1209,20
-wny0OAz3g8$_$1,文本,6.844,768,50,50,0.1369,0
-wny0OAz3g8$_$1,语音,6.844,74,50,50,0.1369,0
-wny0OAz3g8$_$1,视觉,6.844,35,50,34,0.1369,16
-wny0OAz3g8$_$0,文本,3.333,768,50,50,0.0667,0
-wny0OAz3g8$_$0,语音,3.333,74,50,50,0.0667,0
-wny0OAz3g8$_$0,视觉,3.333,35,50,17,0.0667,33
-wny0OAz3g8$_$3,文本,6.146,768,50,50,0.1229,0
-wny0OAz3g8$_$3,语音,6.146,74,50,50,0.1229,0
-wny0OAz3g8$_$3,视觉,6.146,35,50,31,0.1229,19
-wny0OAz3g8$_$2,文本,6.687,768,50,50,0.1337,0
-wny0OAz3g8$_$2,语音,6.687,74,50,49,0.1337,1
-wny0OAz3g8$_$2,视觉,6.687,35,50,33,0.1337,17
-wny0OAz3g8$_$5,文本,6.912,768,50,50,0.1382,0
-wny0OAz3g8$_$5,语音,6.912,74,50,49,0.1382,1
-wny0OAz3g8$_$5,视觉,6.912,35,50,35,0.1382,15
-wny0OAz3g8$_$7,文本,8.068,768,50,50,0.1614,0
-wny0OAz3g8$_$7,语音,8.068,74,50,50,0.1614,0
-wny0OAz3g8$_$7,视觉,8.068,35,50,40,0.1614,10
-wny0OAz3g8$_$9,文本,6.213,768,50,50,0.1243,0
-wny0OAz3g8$_$9,语音,6.213,74,50,49,0.1243,1
-wny0OAz3g8$_$9,视觉,6.213,35,50,31,0.1243,19
-571d8cVauQ$_$0,文本,5.067,768,50,50,0.1013,0
-571d8cVauQ$_$0,语音,5.067,74,50,50,0.1013,0
-571d8cVauQ$_$0,视觉,5.067,35,50,26,0.1013,24
-571d8cVauQ$_$5,文本,15.273,768,50,50,0.3055,0
-571d8cVauQ$_$5,语音,15.273,74,50,50,0.3055,0
-571d8cVauQ$_$5,视觉,15.273,35,50,50,0.3055,0
-I_e4mIh0yE$_$1,文本,7.622,768,50,50,0.1524,0
-I_e4mIh0yE$_$1,语音,7.622,74,50,49,0.1524,1
-I_e4mIh0yE$_$1,视觉,7.622,35,50,38,0.1524,12
-I_e4mIh0yE$_$3,文本,9.163,768,50,50,0.1833,0
-I_e4mIh0yE$_$3,语音,9.163,74,50,50,0.1833,0
-I_e4mIh0yE$_$3,视觉,9.163,35,50,46,0.1833,4
-UacrmKiTn4$_$10,文本,7.362,768,50,50,0.1472,0
-UacrmKiTn4$_$10,语音,7.362,74,50,50,0.1472,0
-UacrmKiTn4$_$10,视觉,7.362,35,50,37,0.1472,13
-UacrmKiTn4$_$4,文本,4.741,768,50,50,0.0948,0
-UacrmKiTn4$_$4,语音,4.741,74,50,50,0.0948,0
-UacrmKiTn4$_$4,视觉,4.741,35,50,24,0.0948,26
-hnBHBN8p5A$_$7,文本,7.372,768,50,50,0.1474,0
-hnBHBN8p5A$_$7,语音,7.372,74,50,50,0.1474,0
-hnBHBN8p5A$_$7,视觉,7.372,35,50,37,0.1474,13
-hnBHBN8p5A$_$6,文本,6.401,768,50,50,0.128,0
-hnBHBN8p5A$_$6,语音,6.401,74,50,50,0.128,0
-hnBHBN8p5A$_$6,视觉,6.401,35,50,32,0.128,18
-qDkUB0GgYY$_$6,文本,4.678,768,50,50,0.0936,0
-qDkUB0GgYY$_$6,语音,4.678,74,50,50,0.0936,0
-qDkUB0GgYY$_$6,视觉,4.678,35,50,23,0.0936,27
-uywlfIYOS8$_$4,文本,6.045,768,50,50,0.1209,0
-uywlfIYOS8$_$4,语音,6.045,74,50,49,0.1209,1
-uywlfIYOS8$_$4,视觉,6.045,35,50,30,0.1209,20
-6rXp3zJ3kc$_$8,文本,12.805,768,50,50,0.2561,0
