样本编号,模态类型,有效位置数,缺失位置数,缺失比例,该模态作用程度
附件3_01,text,50,0,0.0,0.3339
附件3_01,audio,6,44,0.88,0.4819
附件3_01,vision,6,44,0.88,0.1842
附件3_02,text,50,0,0.0,0.1455
附件3_02,audio,23,27,0.54,0.6938
附件3_02,vision,23,27,0.54,0.1607
附件3_03,text,50,0,0.0,0.1204
附件3_03,audio,27,23,0.46,0.4866
附件3_03,vision,23,27,0.54,0.393
附件3_04,text,50,0,0.0,0.1595
附件3_04,audio,29,21,0.42,0.4171
附件3_04,vision,29,21,0.42,0.4235
附件3_05,text,50,0,0.0,0.2123
附件3_05,audio,12,38,0.76,0.6596
附件3_05,vision,12,38,0.76,0.1281
附件3_06,text,50,0,0.0,0.1834
附件3_06,audio,22,28,0.56,0.2937
附件3_06,vision,22,28,0.56,0.5229
附件3_07,text,50,0,0.0,0.155
附件3_07,audio,18,32,0.64,0.4515
附件3_07,vision,18,32,0.64,0.3936
附件3_08,text,50,0,0.0,0.2081
附件3_08,audio,13,37,0.74,0.2861
附件3_08,vision,13,37,0.74,0.5058
附件3_09,text,50,0,0.0,0.2945
附件3_09,audio,12,38,0.76,0.4068
附件3_09,vision,12,38,0.76,0.2986
附件3_10,text,50,0,0.0,0.345
附件3_10,audio,6,44,0.88,0.5384
附件3_10,vision,6,44,0.88,0.1166
附件3_11,text,50,0,0.0,0.2699
附件3_11,audio,10,40,0.8,0.5106
附件3_11,vision,10,40,0.8,0.2196
附件3_12,text,50,0,0.0,0.1975
附件3_12,audio,11,39,0.78,0.5004
附件3_12,vision,11,39,0.78,0.302
附件3_13,text,50,0,0.0,0.3607
附件3_13,audio,17,33,0.66,0.3004
附件3_13,vision,17,33,0.66,0.3389
附件3_14,text,50,0,0.0,0.1302
附件3_14,audio,21,29,0.58,0.4943
附件3_14,vision,21,29,0.58,0.3755
附件3_15,text,50,0,0.0,0.1383
附件3_15,audio,24,26,0.52,0.5486
附件3_15,vision,24,26,0.52,0.313
附件3_16,text,50,0,0.0,0.0793
附件3_16,audio,30,20,0.4,0.5357
附件3_16,vision,30,20,0.4,0.385
附件3_17,text,50,0,0.0,0.1691
附件3_17,audio,14,36,0.72,0.3767
附件3_17,vision,14,36,0.72,0.4542
附件3_18,text,50,0,0.0,0.1967
附件3_18,audio,14,36,0.72,0.539
附件3_18,vision,14,36,0.72,0.2642
附件3_19,text,50,0,0.0,0.2363
附件3_19,audio,17,33,0.66,0.4766
附件3_19,vision,17,33,0.66,0.2871
附件3_20,text,50,0,0.0,0.1119
附件3_20,audio,34,16,0.32,0.6653
附件3_20,vision,34,16,0.32,0.2229
附件3_21,text,50,0,0.0,0.3641
附件3_21,audio,6,44,0.88,0.3956
附件3_21,vision,6,44,0.88,0.2403
附件3_22,text,50,0,0.0,0.2366
附件3_22,audio,13,37,0.74,0.3275
附件3_22,vision,13,37,0.74,0.4359
附件3_23,text,50,0,0.0,0.249
附件3_23,audio,9,41,0.82,0.5529
附件3_23,vision,9,41,0.82,0.1981
附件3_24,text,50,0,0.0,0.3133
附件3_24,audio,6,44,0.88,0.3784
附件3_24,vision,6,44,0.88,0.3083
附件3_25,text,50,0,0.0,0.4319
附件3_25,audio,7,43,0.86,0.2649
附件3_25,vision,7,43,0.86,0.3033
附件3_26,text,50,0,0.0,0.173
附件3_26,audio,16,34,0.68,0.5908
附件3_26,vision,16,34,0.68,0.2362
附件3_27,text,50,0,0.0,0.1763
附件3_27,audio,13,37,0.74,0.5827
附件3_27,vision,13,37,0.74,0.241
附件3_28,text,50,0,0.0,0.1154
附件3_28,audio,22,28,0.56,0.6053
附件3_28,vision,22,28,0.56,0.2792
附件3_29,text,50,0,0.0,0.2482
附件3_29,audio,10,40,0.8,0.5074
附件3_29,vision,10,40,0.8,0.2444
附件3_30,text,50,0,0.0,0.3058
附件3_30,audio,12,38,0.76,0.3058
附件3_30,vision,12,38,0.76,0.3884
