样本编号,情感极性预测,极性置信度,情感强度预测,文本作用程度,语音作用程度,视觉作用程度
附件3_01,Positive,0.5183,0.1592,0.3339,0.4819,0.1842
附件3_02,Positive,0.9957,0.3797,0.1455,0.6938,0.1607
附件3_03,Neutral,0.8743,0.3374,0.1204,0.4866,0.393
附件3_04,Positive,0.8911,0.4749,0.1595,0.4171,0.4235
附件3_05,Positive,0.9355,0.6016,0.2123,0.6596,0.1281
附件3_06,Neutral,0.9999,0.1467,0.1834,0.2937,0.5229
附件3_07,Neutral,0.9159,0.3093,0.155,0.4515,0.3936
附件3_08,Neutral,0.9734,0.1797,0.2081,0.2861,0.5058
附件3_09,Positive,0.7456,0.2812,0.2945,0.4068,0.2986
附件3_10,Positive,0.9919,0.4129,0.345,0.5384,0.1166
附件3_11,Positive,0.5983,0.1838,0.2699,0.5106,0.2196
附件3_12,Positive,0.9986,0.7504,0.1975,0.5004,0.302
附件3_13,Negative,0.6793,0.1531,0.3607,0.3004,0.3389
附件3_14,Neutral,0.6417,0.4114,0.1302,0.4943,0.3755
附件3_15,Positive,1.0,0.8177,0.1383,0.5486,0.313
附件3_16,Neutral,0.9925,0.205,0.0793,0.5357,0.385
附件3_17,Positive,0.9998,0.5356,0.1691,0.3767,0.4542
附件3_18,Positive,0.9975,0.2721,0.1967,0.539,0.2642
附件3_19,Positive,0.946,0.3232,0.2363,0.4766,0.2871
附件3_20,Neutral,0.9973,0.0717,0.1119,0.6653,0.2229
附件3_21,Positive,0.5541,0.2016,0.3641,0.3956,0.2403
附件3_22,Positive,0.9299,0.2311,0.2366,0.3275,0.4359
附件3_23,Positive,0.9068,0.7669,0.249,0.5529,0.1981
附件3_24,Positive,0.9878,0.2454,0.3133,0.3784,0.3083
附件3_25,Positive,0.9608,0.361,0.4319,0.2649,0.3033
附件3_26,Positive,0.9685,0.3872,0.173,0.5908,0.2362
附件3_27,Neutral,0.872,0.1164,0.1763,0.5827,0.241
附件3_28,Neutral,0.9915,0.179,0.1154,0.6053,0.2792
附件3_29,Positive,0.948,0.1124,0.2482,0.5074,0.2444
附件3_30,Positive,0.99,0.2706,0.3058,0.3058,0.3884
