样本编号,证据位置,证据时间起点（秒）,证据时间终点（秒）,位置重要性,文本贡献,语音贡献,视觉贡献,该位置主要证据模态
01,17,2.88,3.06,0.447,0.0088,0.0125,0.0077,audio
01,16,2.7,2.88,0.3471,0.0089,0.0126,0.0082,audio
01,21,3.6,3.78,0.0873,0.0076,0.015,0.0095,audio
01,10,1.62,1.8,0.0739,0.0079,0.0143,0.0093,audio
01,3,0.36,0.54,0.0093,0.0077,0.0108,0.0113,vision
02,16,1.048,1.118,0.4247,0.0075,0.0148,0.0135,audio
02,11,0.699,0.768,0.2862,0.0085,0.0149,0.0133,audio
02,8,0.489,0.559,0.2252,0.0073,0.0153,0.0133,audio
02,19,1.257,1.327,0.013,0.0062,0.0145,0.0135,audio
02,12,0.768,0.838,0.0101,0.0116,0.014,0.0134,audio
03,21,3.866,4.059,0.5124,0.0056,0.0105,0.0066,audio
03,19,3.479,3.672,0.2298,0.0075,0.0107,0.0062,audio
03,18,3.286,3.479,0.0475,0.0084,0.0104,0.0066,audio
03,22,4.059,4.252,0.0335,0.0072,0.0098,0.007,audio
03,15,2.706,2.899,0.0297,0.0068,0.0114,0.0065,audio
04,25,3.357,3.497,0.7256,0.0044,0.0123,0.0145,vision
04,14,1.818,1.958,0.1393,0.0084,0.0085,0.0144,vision
04,13,1.679,1.818,0.055,0.0081,0.0091,0.0132,vision
04,15,1.958,2.098,0.0307,0.0076,0.0087,0.0144,vision
04,17,2.238,2.378,0.0082,0.0051,0.01,0.014,vision
05,4,0.366,0.488,0.4969,0.0081,0.0196,0.0151,audio
05,15,1.708,1.83,0.0576,0.0068,0.0194,0.0202,vision
05,6,0.61,0.732,0.0373,0.0056,0.0203,0.0148,audio
05,5,0.488,0.61,0.0218,0.0065,0.0196,0.0144,audio
05,16,1.83,1.952,0.0169,0.0062,0.0194,0.0206,vision
06,15,2.325,2.492,0.2741,0.0077,0.0088,0.0084,audio
06,21,3.322,3.488,0.2506,0.0057,0.0082,0.008,audio
06,22,3.488,3.654,0.2261,0.0069,0.0069,0.0082,vision
06,14,2.159,2.325,0.204,0.007,0.0095,0.0087,audio
06,3,0.332,0.498,0.0054,0.0094,0.0086,0.009,text
07,27,11.101,11.528,0.5866,0.0061,0.0091,0.0048,audio
07,40,16.651,17.078,0.253,0.0055,0.0059,0.0049,audio
07,34,14.09,14.517,0.0338,0.0074,0.0078,0.0049,audio
07,43,17.932,18.359,0.0167,0.0092,0.0063,0.0051,text
07,38,15.798,16.224,0.0136,0.0061,0.0074,0.0046,audio
08,11,1.017,1.119,0.2916,0.0062,0.0279,0.0195,audio
08,4,0.305,0.407,0.1264,0.0072,0.025,0.0233,audio
08,9,0.814,0.915,0.0777,0.0065,0.0238,0.0269,vision
08,10,0.915,1.017,0.0408,0.0075,0.0238,0.0247,vision
08,13,1.221,1.322,0.0136,0.0076,0.0,0.0,text
09,18,1.714,1.815,0.6462,0.0035,0.0199,0.0127,audio
09,9,0.807,0.908,0.1892,0.0053,0.0178,0.0124,audio
09,19,1.815,1.916,0.0502,0.0046,0.0185,0.0099,audio
09,17,1.613,1.714,0.0265,0.0048,0.0222,0.015,audio
09,16,1.513,1.613,0.0236,0.0042,0.0194,0.0156,audio
10,11,1.988,2.187,0.5159,0.0058,0.0088,0.0095,vision
10,13,2.386,2.584,0.1174,0.0046,0.0092,0.0098,vision
10,9,1.59,1.789,0.1078,0.0056,0.0089,0.0087,audio
10,10,1.789,1.988,0.062,0.0063,0.0079,0.0087,vision
10,30,5.765,5.964,0.0554,0.0076,0.0112,0.009,audio
11,7,0.696,0.813,0.4567,0.0052,0.0158,0.019,vision
11,8,0.813,0.929,0.2006,0.0045,0.016,0.0199,vision
11,5,0.464,0.58,0.0441,0.0038,0.0175,0.0163,audio
11,9,0.929,1.045,0.0395,0.0055,0.0167,0.0191,vision
11,10,1.045,1.161,0.034,0.0057,0.0179,0.0191,vision
12,30,7.548,7.808,0.4678,0.0103,0.0054,0.006,text
12,41,10.411,10.671,0.2627,0.0037,0.0088,0.0058,audio
12,9,2.082,2.343,0.1512,0.0092,0.0061,0.0064,text
12,42,10.671,10.932,0.0312,0.0047,0.0084,0.0059,audio
12,29,7.288,7.548,0.0174,0.012,0.0057,0.0061,text
13,13,2.083,2.257,0.764,0.006,0.0095,0.0,audio
13,9,1.389,1.562,0.0327,0.008,0.0091,0.0,audio
13,21,3.472,3.645,0.0289,0.0065,0.0082,0.0,audio
13,27,4.513,4.687,0.0243,0.0065,0.0092,0.0,audio
13,19,3.124,3.298,0.0191,0.0085,0.0064,0.0,text
14,35,7.039,7.246,0.6593,0.0059,0.0101,0.0103,vision
14,15,2.898,3.105,0.1006,0.0032,0.0075,0.0098,vision
14,9,1.656,1.863,0.0582,0.0054,0.0075,0.0091,vision
14,18,3.519,3.726,0.0419,0.0061,0.0073,0.0108,vision
14,34,6.832,7.039,0.037,0.0079,0.0091,0.0106,vision
15,14,1.907,2.053,0.2866,0.0058,0.0154,0.0109,audio
15,19,2.64,2.787,0.2164,0.0068,0.0173,0.0097,audio
15,21,2.933,3.08,0.1189,0.0082,0.0142,0.0141,audio
15,15,2.053,2.2,0.0856,0.0067,0.0143,0.0116,audio
15,9,1.173,1.32,0.0709,0.0047,0.0142,0.0107,audio
16,12,0.685,0.747,0.1296,0.0057,0.0233,0.024,vision
16,9,0.498,0.561,0.1096,0.0059,0.0284,0.0225,audio
16,11,0.623,0.685,0.0695,0.0053,0.0226,0.0229,vision
16,2,0.062,0.125,0.0598,0.0053,0.0268,0.0181,audio
16,10,0.561,0.623,0.036,0.0071,0.0268,0.0215,audio
17,18,3.287,3.48,0.4031,0.0068,0.0125,0.0125,audio
17,21,3.867,4.06,0.0844,0.0055,0.0127,0.0131,vision
17,20,3.673,3.867,0.0698,0.006,0.0122,0.0138,vision
17,24,4.447,4.64,0.0475,0.0054,0.0098,0.0121,vision
17,19,3.48,3.673,0.0467,0.0086,0.0122,0.0152,vision
18,8,2.633,3.009,0.2793,0.0054,0.009,0.0043,audio
18,17,6.019,6.395,0.0911,0.0101,0.0083,0.0051,text
18,5,1.505,1.881,0.0632,0.0062,0.011,0.006,audio
18,21,7.523,7.899,0.0617,0.0064,0.0069,0.0047,audio
18,15,5.266,5.642,0.0499,0.0087,0.0059,0.0052,text
19,40,10.673,10.946,0.6258,0.0041,0.0085,0.0067,audio
19,11,2.737,3.01,0.11,0.0062,0.0089,0.0097,vision
19,9,2.189,2.463,0.0632,0.0066,0.0094,0.0083,audio
19,4,0.821,1.095,0.0509,0.0071,0.0072,0.0079,vision
19,22,5.747,6.021,0.044,0.0066,0.0096,0.0083,audio
20,23,4.819,5.038,0.7618,0.009,0.0072,0.0062,text
20,12,2.41,2.629,0.0505,0.0104,0.0056,0.0072,text
20,35,7.448,7.667,0.0406,0.0069,0.0079,0.0046,audio
20,42,8.981,9.201,0.0384,0.0071,0.0085,0.0045,audio
20,4,0.657,0.876,0.0212,0.0072,0.0042,0.0056,text
