样本编号,情感极性预测,极性置信度,情感强度预测,主要参考模态,文本作用程度,语音作用程度,视觉作用程度,关键证据位置,关键证据时间窗,片段时长（秒）,视觉关键帧
01,Positive,1.0,1.7167,text,0.4882,0.2998,0.212,17、16、21、10、3,"第17位[2.88,3.06)秒；第16位[2.70,2.88)秒；第21位[3.60,3.78)秒；第10位[1.62,1.80)秒；第3位[0.36,0.54)秒",9.0,第15帧（5帧/秒）
02,Positive,1.0,0.8587,text,0.4785,0.2701,0.2514,16、11、8、19、12,"第16位[1.05,1.12)秒；第11位[0.70,0.77)秒；第8位[0.49,0.56)秒；第19位[1.26,1.33)秒；第12位[0.77,0.84)秒",3.493,第6帧（5帧/秒）
03,Positive,0.9997,0.7115,text,0.4212,0.353,0.2258,21、19、18、22、15,"第21位[3.87,4.06)秒；第19位[3.48,3.67)秒；第18位[3.29,3.48)秒；第22位[4.06,4.25)秒；第15位[2.71,2.90)秒",9.664,第20帧（5帧/秒）
04,Positive,0.5366,-0.1338,text,0.4078,0.2786,0.3136,25、14、13、15、17,"第25位[3.36,3.50)秒；第14位[1.82,1.96)秒；第13位[1.68,1.82)秒；第15位[1.96,2.10)秒；第17位[2.24,2.38)秒",6.994,第17帧（5帧/秒）
05,Positive,0.9968,0.8586,text,0.4653,0.2793,0.2554,4、15、6、5、16,"第4位[0.37,0.49)秒；第15位[1.71,1.83)秒；第6位[0.61,0.73)秒；第5位[0.49,0.61)秒；第16位[1.83,1.95)秒",6.1,第2帧（5帧/秒）
06,Positive,0.9978,0.5154,text,0.4401,0.2877,0.2722,15、21、22、14、3,"第15位[2.33,2.49)秒；第21位[3.32,3.49)秒；第22位[3.49,3.65)秒；第14位[2.16,2.33)秒；第3位[0.33,0.50)秒",8.305,第12帧（5帧/秒）
07,Positive,1.0,0.4335,text,0.4334,0.3482,0.2184,27、40、34、43、38,"第27位[11.10,11.53)秒；第40位[16.65,17.08)秒；第34位[14.09,14.52)秒；第43位[17.93,18.36)秒；第38位[15.80,16.22)秒",21.348,第56帧（5帧/秒）
08,Neutral,0.9778,0.2405,text,0.4533,0.2779,0.2688,11、4、9、10、13,"第11位[1.02,1.12)秒；第4位[0.31,0.41)秒；第9位[0.81,0.92)秒；第10位[0.92,1.02)秒；第13位[1.22,1.32)秒",5.086,第6帧（5帧/秒）
09,Negative,0.9719,-0.1436,text,0.437,0.3099,0.2531,18、9、19、17、16,"第18位[1.71,1.82)秒；第9位[0.81,0.91)秒；第19位[1.82,1.92)秒；第17位[1.61,1.71)秒；第16位[1.51,1.61)秒",5.042,第9帧（5帧/秒）
10,Negative,0.9958,0.0729,text,0.4182,0.2939,0.2878,11、13、9、10、30,"第11位[1.99,2.19)秒；第13位[2.39,2.58)秒；第9位[1.59,1.79)秒；第10位[1.79,1.99)秒；第30位[5.77,5.96)秒",9.94,第10帧（5帧/秒）
11,Neutral,0.7384,0.2214,text,0.4412,0.2773,0.2816,7、8、5、9、10,"第7位[0.70,0.81)秒；第8位[0.81,0.93)秒；第5位[0.46,0.58)秒；第9位[0.93,1.04)秒；第10位[1.04,1.16)秒",5.804,第4帧（5帧/秒）
12,Positive,0.9968,0.8228,text,0.4556,0.2904,0.254,30、41、9、42、29,"第30位[7.55,7.81)秒；第41位[10.41,10.67)秒；第9位[2.08,2.34)秒；第42位[10.67,10.93)秒；第29位[7.29,7.55)秒",13.014,第38帧（5帧/秒）
13,Positive,0.8743,0.6361,text,0.4528,0.2423,0.3049,13、9、21、27、19,"第13位[2.08,2.26)秒；第9位[1.39,1.56)秒；第21位[3.47,3.65)秒；第27位[4.51,4.69)秒；第19位[3.12,3.30)秒",8.679,第11帧（5帧/秒）
14,Positive,0.9982,0.5385,text,0.3639,0.2778,0.3584,35、15、9、18、34,"第35位[7.04,7.25)秒；第15位[2.90,3.11)秒；第9位[1.66,1.86)秒；第18位[3.52,3.73)秒；第34位[6.83,7.04)秒",10.351,第36帧（5帧/秒）
15,Positive,0.9999,0.5173,text,0.4525,0.3207,0.2268,14、19、21、15、9,"第14位[1.91,2.05)秒；第19位[2.64,2.79)秒；第21位[2.93,3.08)秒；第15位[2.05,2.20)秒；第9位[1.17,1.32)秒",7.333,第10帧（5帧/秒）
16,Neutral,0.9994,0.0103,text,0.4776,0.2848,0.2376,12、9、11、2、10,"第12位[0.69,0.75)秒；第9位[0.50,0.56)秒；第11位[0.62,0.69)秒；第2位[0.06,0.12)秒；第10位[0.56,0.62)秒",3.114,第4帧（5帧/秒）
17,Positive,0.5728,0.3722,text,0.4884,0.2537,0.2579,18、21、20、24、19,"第18位[3.29,3.48)秒；第21位[3.87,4.06)秒；第20位[3.67,3.87)秒；第24位[4.45,4.64)秒；第19位[3.48,3.67)秒",9.667,第17帧（5帧/秒）
18,Neutral,0.9389,0.203,audio,0.3469,0.4115,0.2416,8、17、5、21、15,"第8位[2.63,3.01)秒；第17位[6.02,6.39)秒；第5位[1.50,1.88)秒；第21位[7.52,7.90)秒；第15位[5.27,5.64)秒",18.808,第14帧（5帧/秒）
19,Positive,0.9814,0.0882,text,0.3518,0.3455,0.3028,40、11、9、4、22,"第40位[10.67,10.95)秒；第11位[2.74,3.01)秒；第9位[2.19,2.46)秒；第4位[0.82,1.09)秒；第22位[5.75,6.02)秒",13.683,第54帧（5帧/秒）
20,Positive,1.0,1.5225,text,0.4425,0.3015,0.256,23、12、35、42、4,"第23位[4.82,5.04)秒；第12位[2.41,2.63)秒；第35位[7.45,7.67)秒；第42位[8.98,9.20)秒；第4位[0.66,0.88)秒",10.953,第25帧（5帧/秒）
