sample,file,text_valid_len,text_missing_len,text_missing_segments,text_missing_ratio,audio_valid_len,audio_missing_len,audio_missing_segments,audio_missing_ratio,vision_valid_len,vision_missing_len,vision_missing_segments,vision_missing_ratio
附件3_01,附件3_01.pkl,8,42,"[[8, 49]]",0.84,6,43,"[[7, 49]]",0.86,6,43,"[[7, 49]]",0.86
附件3_02,附件3_02.pkl,30,20,"[[30, 49]]",0.4,23,26,"[[2, 2], [5, 5], [7, 7], [9, 10], [29, 49]]",0.52,23,26,"[[2, 2], [5, 5], [7, 7], [9, 10], [29, 49]]",0.52
附件3_03,附件3_03.pkl,34,16,"[[34, 49]]",0.32,27,22,"[[6, 6], [16, 16], [20, 20], [23, 23], [31, 31], [33, 49]]",0.44,23,26,"[[6, 6], [16, 16], [20, 21], [23, 26], [31, 31], [33, 49]]",0.52
附件3_04,附件3_04.pkl,33,17,"[[33, 49]]",0.34,29,20,"[[6, 6], [8, 8], [32, 49]]",0.4,29,20,"[[6, 6], [8, 8], [32, 49]]",0.4
附件3_05,附件3_05.pkl,14,36,"[[14, 49]]",0.72,12,37,"[[13, 49]]",0.74,12,37,"[[13, 49]]",0.74
附件3_06,附件3_06.pkl,27,23,"[[27, 49]]",0.46,22,27,"[[14, 14], [17, 17], [25, 49]]",0.54,22,27,"[[14, 14], [17, 17], [25, 49]]",0.54
附件3_07,附件3_07.pkl,23,27,"[[23, 49]]",0.54,18,31,"[[10, 10], [12, 12], [14, 14], [22, 49]]",0.62,18,31,"[[10, 10], [12, 12], [14, 14], [22, 49]]",0.62
附件3_08,附件3_08.pkl,17,33,"[[17, 49]]",0.66,13,36,"[[9, 10], [16, 49]]",0.72,13,36,"[[9, 10], [16, 49]]",0.72
附件3_09,附件3_09.pkl,16,34,"[[16, 49]]",0.68,12,37,"[[3, 4], [15, 49]]",0.74,12,37,"[[3, 4], [15, 49]]",0.74
附件3_10,附件3_10.pkl,8,42,"[[8, 49]]",0.84,6,43,"[[7, 49]]",0.86,6,43,"[[7, 49]]",0.86
附件3_11,附件3_11.pkl,16,34,"[[16, 49]]",0.68,10,39,"[[4, 5], [7, 7], [14, 49]]",0.78,10,39,"[[4, 5], [7, 7], [14, 49]]",0.78
附件3_12,附件3_12.pkl,15,35,"[[15, 49]]",0.7,11,38,"[[5, 5], [13, 49]]",0.76,11,38,"[[5, 5], [13, 49]]",0.76
附件3_13,附件3_13.pkl,21,29,"[[21, 49]]",0.58,17,32,"[[5, 5], [14, 14], [20, 49]]",0.64,17,32,"[[5, 5], [14, 14], [20, 49]]",0.64
附件3_14,附件3_14.pkl,25,25,"[[25, 49]]",0.5,21,28,"[[21, 22], [24, 49]]",0.56,21,28,"[[21, 22], [24, 49]]",0.56
附件3_15,附件3_15.pkl,29,21,"[[29, 49]]",0.42,24,25,"[[2, 2], [6, 6], [18, 18], [28, 49]]",0.5,24,25,"[[2, 2], [6, 6], [18, 18], [28, 49]]",0.5
附件3_16,附件3_16.pkl,36,14,"[[36, 49]]",0.28,30,19,"[[5, 5], [10, 10], [21, 21], [25, 25], [35, 49]]",0.38,30,19,"[[5, 5], [10, 10], [21, 21], [25, 25], [35, 49]]",0.38
附件3_17,附件3_17.pkl,24,26,"[[24, 49]]",0.52,14,36,"[[0, 3], [5, 5], [12, 12], [15, 15], [18, 18], [21, 21], [23, 49]]",0.72,14,36,"[[0, 3], [5, 5], [12, 12], [15, 15], [18, 18], [21, 21], [23, 49]]",0.72
附件3_18,附件3_18.pkl,19,31,"[[19, 49]]",0.62,14,35,"[[2, 3], [5, 5], [18, 49]]",0.7,14,35,"[[2, 3], [5, 5], [18, 49]]",0.7
附件3_19,附件3_19.pkl,26,24,"[[26, 49]]",0.48,17,32,"[[3, 4], [7, 8], [13, 13], [17, 17], [21, 21], [25, 49]]",0.64,17,32,"[[3, 4], [7, 8], [13, 13], [17, 17], [21, 21], [25, 49]]",0.64
附件3_20,附件3_20.pkl,50,0,[],0.0,34,15,"[[6, 6], [8, 9], [11, 11], [21, 21], [26, 26], [31, 31], [38, 41], [43, 44], [48, 49]]",0.3,34,15,"[[6, 6], [8, 9], [11, 11], [21, 21], [26, 26], [31, 31], [38, 41], [43, 44], [48, 49]]",0.3
附件3_21,附件3_21.pkl,11,39,"[[11, 49]]",0.78,6,43,"[[2, 2], [4, 4], [8, 8], [10, 49]]",0.86,6,43,"[[2, 2], [4, 4], [8, 8], [10, 49]]",0.86
附件3_22,附件3_22.pkl,19,31,"[[19, 49]]",0.62,13,36,"[[7, 7], [12, 12], [14, 14], [16, 16], [18, 49]]",0.72,13,36,"[[7, 7], [12, 12], [14, 14], [16, 16], [18, 49]]",0.72
附件3_23,附件3_23.pkl,15,35,"[[15, 49]]",0.7,9,40,"[[6, 6], [10, 12], [14, 49]]",0.8,9,40,"[[6, 6], [10, 12], [14, 49]]",0.8
附件3_24,附件3_24.pkl,10,40,"[[10, 49]]",0.8,6,44,"[[0, 1], [7, 7], [9, 49]]",0.88,6,44,"[[0, 1], [7, 7], [9, 49]]",0.88
附件3_25,附件3_25.pkl,11,39,"[[11, 49]]",0.78,7,43,"[[0, 1], [5, 5], [10, 49]]",0.86,7,43,"[[0, 1], [5, 5], [10, 49]]",0.86
附件3_26,附件3_26.pkl,24,26,"[[24, 49]]",0.52,16,34,"[[0, 1], [5, 5], [11, 11], [15, 16], [22, 49]]",0.68,16,34,"[[0, 1], [5, 5], [11, 11], [15, 16], [22, 49]]",0.68
