video_id,clip_id,sample_id,media_relpath,label,annotation,text_chars,text_words,exists,probe_ok,duration_sec,video_codec,width,height,fps,audio_codec,sample_rate,channels
-3g5yACwYnA,13,-3g5yACwYnA$_$13,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,0.6666666865348816,Positive,80,15,True,True,5.513997,h264,1280,720,30.0,aac,44100,2
-3g5yACwYnA,3,-3g5yACwYnA$_$3,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,0.0,Neutral,173,29,True,True,14.388997,h264,1280,720,30.0,aac,44100,2
-3g5yACwYnA,2,-3g5yACwYnA$_$2,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,0.0,Neutral,85,14,True,True,9.39401,h264,1280,720,30.0,aac,44100,2
-3g5yACwYnA,9,-3g5yACwYnA$_$9,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,0.6666666865348816,Positive,139,21,True,True,8.816992,h264,1280,720,30.0,aac,44100,2
-3nNcZdcdvU,5,-3nNcZdcdvU$_$5,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,0.0,Neutral,104,18,True,True,7.867969,h264,320,240,30.0,aac,44100,1
-HwX2H8Z4hY,2,-HwX2H8Z4hY$_$2,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4,0.0,Neutral,48,8,True,True,3.982031,h264,1280,720,30.0,aac,44100,2
-HwX2H8Z4hY,5,-HwX2H8Z4hY$_$5,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4,-1.0,Negative,74,10,True,True,5.652995,h264,1280,720,30.0,aac,44100,2
-HwX2H8Z4hY,6,-HwX2H8Z4hY$_$6,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/6.mp4,0.0,Neutral,31,7,True,True,3.358008,h264,1280,720,30.0,aac,44100,2
-HwX2H8Z4hY,9,-HwX2H8Z4hY$_$9,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/9.mp4,-0.3333333432674408,Negative,119,22,True,True,7.733984,h264,1280,720,30.0,aac,44100,2
-NFrJFQijFE,1,-NFrJFQijFE$_$1,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/1.mp4,0.3333333432674408,Positive,93,16,True,True,5.746,h264,1280,720,25.0,aac,44100,2
-NFrJFQijFE,2,-NFrJFQijFE$_$2,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/2.mp4,0.0,Neutral,100,18,True,True,6.856,h264,1280,720,25.0,aac,44100,2
-THoVjtIkeU,12,-THoVjtIkeU$_$12,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/12.mp4,2.0,Positive,207,39,True,True,14.896029,h264,640,360,30.0,aac,44100,2
-THoVjtIkeU,2,-THoVjtIkeU$_$2,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/2.mp4,1.3333333730697632,Positive,63,10,True,True,4.291992,h264,640,360,30.0,aac,44100,2
-THoVjtIkeU,6,-THoVjtIkeU$_$6,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/6.mp4,2.6666667461395264,Positive,150,30,True,True,8.097005,h264,640,360,30.0,aac,44100,2
-UuX1xuaiiE,1,-UuX1xuaiiE$_$1,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/1.mp4,1.6666666269302368,Positive,148,27,True,True,10.35,h264,1280,720,30.0,aac,44100,2
-UuX1xuaiiE,0,-UuX1xuaiiE$_$0,赛题/E题数据/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/0.mp4,2.6666667461395264,Positive,55,9,True,True,3.633333,h264,1280,720,30.0,aac,44100,2
